Instance,,,HSCA,,,,AutoCCAG,,,,CAmpactor,,,,SamplingCA,,,,PRBOT-its,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,734,736.5,971.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
bugzilla,,166,166.3,444.6,,167,167.6,390.3,,171,172.9,867.6,,272,278.2,50.4,,195,199.6,601.3
gcc,,340,344.3,969.5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
spins,,308,308.0,105.7,,308,310.0,81.2,,344,356.9,354.0,,454,462.2,7.2,,390,399.2,963.6
spinv,,1091,1094.2,863.2,,1107,1111.4,760.0,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_1,,1508,1510.9,971.0,,1510,1514.9,958.5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_2,,624,628.2,920.9,,676,680.7,950.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_3,,156,156.0,92.3,,156,156.0,322.2,,164,167.6,423.3,,234,236.9,5.0,,186,191.4,762.5
Syn_4,,275,276.6,654.8,,298,299.3,637.0,,399,405.6,991.6,,477,482.6,217.4,,342,348.3,785.8
Syn_5,,2368,2383.4,994.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_6,,384,384.0,172.5,,384,384.0,237.4,,585,599.1,981.4,,606,616.3,565.8,,401,404.4,675.0
Syn_7,,74,74.5,406.7,,74,74.6,174.9,,78,78.6,75.4,,103,104.3,1.7,,90,90.7,324.4
Syn_8,,1605,1610.6,939.4,,1988,1988.0,653.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_9,,200,200.0,635.9,,200,200.0,222.3,,209,211.5,977.6,,329,334.9,142.7,,237,242.0,879.5
Syn_10,,1871,1880.8,982.2,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_11,,1716,1725.0,985.7,,1718,1726.6,992.5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_12,,1257,1262.5,967.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_13,,823,828.9,943.7,,1040,1040.0,818.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_14,,954,960.3,942.7,,991,1001.7,960.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_15,,600,600.7,700.1,,612,623.1,707.8,,921,928.2,986.5,,940,947.8,566.5,,- -,- -,- -
Syn_16,,325,329.1,892.0,,351,356.1,828.7,,596,602.7,982.3,,597,603.0,945.9,,- -,- -,- -
Syn_17,,1213,1216.3,916.0,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_18,,1840,1845.5,992.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_19,,2336,2359.7,997.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_20,,3247,3264.2,996.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_21,,864,864.6,855.8,,871,876.4,958.8,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_22,,493,495.4,883.3,,532,541.6,843.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_23,,103,103.0,183.5,,103,103.0,269.6,,109,109.8,85.4,,151,154.4,3.0,,- -,- -,- -
Syn_24,,1881,1887.7,949.2,,2105,2105.0,766.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_25,,2515,2531.5,990.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_26,,882,888.1,965.3,,888,893.1,953.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_27,,759,764.2,859.4,,770,775.8,884.2,,1186,1193.4,988.8,,1190,1197.3,863.5,,- -,- -,- -
Syn_28,,2795,2812.3,997.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_29,,554,557.4,920.5,,681,681.0,736.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_30,,255,257.0,769.8,,267,272.9,890.8,,400,404.1,991.1,,432,434.7,459.6,,- -,- -,- -
