Instance,,,HSCA,,,,AutoCCAG,,,,CAmpactor,,,,SamplingCA,,,,PRBOT-its,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,30,30.0,0.8,,30,30.0,1.7,,30,30.0,1.1,,44,46.3,0.3,,30,30.0,45.5
bugzilla,,16,16.0,0.4,,16,16.0,1.3,,16,16.0,0.1,,22,23.0,0.0,,16,16.0,31.5
gcc,,15,15.0,286.4,,16,16.4,22.9,,18,18.0,0.9,,27,29.0,0.2,,15,15.0,223.7
spins,,19,19.0,0.6,,19,20.0,26.2,,20,21.5,0.1,,27,27.5,0.0,,19,19.0,31.3
spinv,,31,31.1,22.0,,36,41.7,3.8,,32,32.8,0.9,,48,49.1,0.1,,32,32.9,231.1
Syn_1,,36,36.0,1.8,,36,36.0,2.6,,39,39.6,1.8,,56,58.0,0.2,,39,39.0,242.4
Syn_2,,30,30.0,0.9,,30,30.0,1.3,,30,30.0,0.3,,41,42.5,0.1,,30,30.0,53.5
Syn_3,,18,18.0,0.7,,18,18.0,1.0,,18,18.0,0.1,,20,21.2,0.0,,18,18.0,55.7
Syn_4,,20,20.0,0.8,,20,20.0,1.2,,20,20.1,0.2,,28,29.9,0.1,,20,20.0,53.5
Syn_5,,41,41.0,406.2,,41,41.0,95.1,,46,47.1,6.6,,71,72.6,0.5,,47,47.8,244.4
Syn_6,,24,24.0,0.9,,24,24.0,1.3,,24,24.0,0.2,,33,34.5,0.1,,24,24.0,55.4
Syn_7,,9,9.0,0.8,,9,9.0,1.1,,9,9.0,0.1,,12,13.1,0.0,,9,9.0,344.5
Syn_8,,36,36.0,6.2,,36,36.0,5.7,,40,40.7,2.0,,56,59.6,0.2,,38,39.4,236.5
Syn_9,,20,20.0,0.8,,20,20.0,1.4,,20,20.0,0.1,,25,26.3,0.0,,20,20.0,51.0
Syn_10,,37,37.0,318.6,,37,37.6,232.3,,43,44.3,3.9,,65,66.2,0.4,,43,43.5,242.1
Syn_11,,37,37.0,122.9,,37,37.0,257.0,,43,43.7,1.3,,61,62.6,0.2,,42,42.9,234.5
Syn_12,,36,36.0,1.4,,36,36.0,2.1,,37,37.7,2.8,,55,57.0,0.3,,36,36.0,69.8
Syn_13,,36,36.0,1.1,,36,36.0,1.3,,36,36.0,0.5,,47,49.4,0.2,,36,36.0,53.8
Syn_14,,36,36.0,1.1,,36,36.0,1.1,,36,36.8,1.0,,51,52.7,0.2,,36,36.0,53.0
Syn_15,,30,30.0,0.9,,30,30.0,1.7,,30,30.0,0.3,,40,41.8,0.1,,30,30.0,49.3
Syn_16,,24,24.0,0.7,,24,24.0,1.3,,24,24.0,0.2,,32,34.4,0.1,,24,24.0,50.3
Syn_17,,36,36.0,1.2,,36,36.0,2.0,,37,38.0,2.6,,54,55.7,0.3,,36,36.0,59.1
Syn_18,,37,37.1,140.6,,37,37.3,150.7,,41,42.2,3.2,,62,64.3,0.3,,42,42.3,239.2
Syn_19,,39,39.9,142.0,,39,39.9,226.1,,46,46.7,10.5,,70,72.9,0.7,,45,45.9,248.0
Syn_20,,48,48.0,67.6,,48,48.0,54.2,,53,53.9,9.4,,79,82.4,0.6,,56,56.9,242.1
Syn_21,,36,36.0,1.0,,36,36.0,1.3,,36,36.4,0.7,,50,52.1,0.1,,36,36.0,54.0
Syn_22,,36,36.0,0.9,,36,36.0,1.1,,36,36.0,0.2,,40,43.5,0.1,,36,36.0,49.7
Syn_23,,12,12.0,0.7,,12,12.0,1.0,,13,13.1,0.1,,16,17.0,0.0,,12,12.0,48.5
Syn_24,,38,38.0,30.3,,38,38.0,24.3,,43,44.0,2.4,,61,63.1,0.2,,44,44.4,233.5
Syn_25,,41,41.6,716.0,,42,42.0,130.1,,49,49.6,5.2,,71,73.2,0.4,,51,51.9,236.0
Syn_26,,26,26.1,218.9,,27,27.0,41.5,,31,31.0,0.7,,43,44.4,0.1,,27,27.3,315.3
Syn_27,,36,36.0,0.9,,36,36.0,1.1,,36,36.0,0.2,,45,47.6,0.1,,36,36.0,50.4
Syn_28,,44,44.0,367.0,,44,44.0,20.6,,50,51.1,10.1,,75,77.3,0.7,,52,52.9,244.3
Syn_29,,25,25.0,1.1,,25,25.0,1.6,,25,25.8,0.9,,38,40.0,0.2,,25,25.0,53.7
Syn_30,,16,16.0,1.1,,16,16.3,252.4,,18,18.9,0.2,,27,27.7,0.1,,16,16.0,47.0
