Instance,,,HSCA,,,,AutoCCAG,,,,CAmpactor,,,,SamplingCA,,,,PRBOT-its,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
bugzilla,,1780,1812.9,9648.7,,2183,2183.0,8855.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
gcc,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
spins,,3060,3064.9,5986.8,,3160,3167.7,9092.3,,4406,4426.9,9953.0,,4465,4486.2,4449.6,,- -,- -,- -
spinv,,32275,32307.8,9152.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_3,,1264,1269.9,8330.0,,1267,1268.9,7545.6,,1642,1651.4,9965.2,,1773,1779.8,2681.5,,- -,- -,- -
Syn_4,,3689,3713.5,9397.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_7,,509,509.5,8422.9,,509,510.8,6377.3,,560,561.6,9788.6,,644,650.9,624.8,,- -,- -,- -
Syn_15,,9846,9910.4,9991.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_23,,779,780.6,7358.1,,783,784.0,7553.3,,891,895.6,9936.7,,1041,1046.7,1360.1,,- -,- -,- -
