Instance,,,HSCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,734,736.5,971.7,,- -,- -,- -,,772,783.5,941.1,,1101,1106.0,927.1
bugzilla,,166,166.3,444.6,,166,166.6,775.7,,166,166.6,643.6,,172,174.8,520.1
gcc,,340,344.3,969.5,,- -,- -,- -,,363,369.3,894.9,,414,422.2,643.0
spins,,308,308.0,105.7,,308,308.0,133.6,,310,314.9,425.5,,387,400.5,255.3
spinv,,1091,1094.2,863.2,,1099,1101.6,987.1,,1103,1105.1,820.3,,1469,1482.3,302.5
Syn_1,,1508,1510.9,971.0,,1510,1519.3,982.9,,1522,1530.2,1079.7,,2021,2034.3,826.1
Syn_2,,624,628.2,920.9,,664,674.2,974.3,,662,677.0,930.4,,869,887.0,898.1
Syn_3,,156,156.0,92.3,,156,156.2,280.7,,156,156.0,168.3,,158,159.0,404.9
Syn_4,,275,276.6,654.8,,295,297.7,664.8,,296,300.1,680.3,,366,372.4,322.0
Syn_5,,2368,2383.4,994.7,,- -,- -,- -,,2381,2410.0,988.6,,3073,3084.0,189.6
Syn_6,,384,384.0,172.5,,384,384.0,304.6,,384,384.0,317.8,,384,384.0,522.3
Syn_7,,74,74.5,406.7,,74,74.9,22.4,,74,74.0,116.2,,75,75.9,228.7
Syn_8,,1605,1610.6,939.4,,1988,1988.0,759.9,,1616,1633.3,964.1,,2130,2149.5,854.5
Syn_9,,200,200.0,635.9,,200,200.0,187.6,,200,200.5,895.5,,212,217.5,789.3
Syn_10,,1871,1880.8,982.2,,- -,- -,- -,,1914,1934.8,954.1,,2592,2605.5,645.2
Syn_11,,1716,1725.0,985.7,,1718,1725.9,987.6,,1750,1759.5,1067.2,,2350,2360.5,833.1
Syn_12,,1257,1262.5,967.6,,- -,- -,- -,,1289,1307.3,943.6,,1762,1778.4,796.3
Syn_13,,823,828.9,943.7,,1040,1040.0,891.1,,866,883.4,952.6,,1129,1146.3,906.4
Syn_14,,954,960.3,942.7,,988,995.4,983.6,,1026,1037.7,967.7,,1431,1447.3,886.2
Syn_15,,600,600.7,700.1,,612,616.2,892.2,,614,618.4,841.3,,792,804.6,594.6
Syn_16,,325,329.1,892.0,,350,354.9,871.9,,358,362.3,864.3,,413,424.5,832.9
Syn_17,,1213,1216.3,916.0,,- -,- -,- -,,1255,1271.9,963.5,,1616,1648.8,901.1
Syn_18,,1840,1845.5,992.7,,- -,- -,- -,,1862,1878.6,976.2,,2451,2456.5,639.1
Syn_19,,2336,2359.7,997.4,,- -,- -,- -,,2319,2367.6,994.5,,3092,3105.9,347.5
Syn_20,,3247,3264.2,996.6,,- -,- -,- -,,3249,3286.6,993.0,,4114,4136.4,267.9
Syn_21,,864,864.6,855.8,,870,873.5,970.8,,879,891.0,965.9,,1249,1271.5,887.5
Syn_22,,493,495.4,883.3,,534,542.3,935.4,,537,541.9,907.9,,671,686.3,708.2
Syn_23,,103,103.0,183.5,,103,103.1,258.9,,114,116.1,4.0,,105,106.7,299.6
Syn_24,,1881,1887.7,949.2,,2105,2105.0,779.9,,1882,1893.7,950.6,,2396,2418.5,817.3
Syn_25,,2515,2531.5,990.1,,- -,- -,- -,,2529,2555.4,995.2,,3276,3287.4,730.1
Syn_26,,882,888.1,965.3,,885,891.8,962.9,,888,895.8,932.2,,1148,1157.3,712.2
Syn_27,,759,764.2,859.4,,766,772.8,893.6,,793,803.2,931.5,,1040,1052.5,738.6
Syn_28,,2795,2812.3,997.7,,- -,- -,- -,,2793,2835.5,994.1,,3571,3583.8,302.9
Syn_29,,554,557.4,920.5,,681,681.0,765.9,,573,579.4,965.1,,735,753.7,887.1
Syn_30,,255,257.0,769.8,,269,271.4,830.7,,270,276.0,935.2,,323,334.1,450.0
